"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Gender_Schools_Model.nlogox"
"GenderSegregationExperiment"
"06/10/2026 12:20:34:195 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","kappa","delta","[step]","(total-female-all / (total-male-all + total-female-all)) * 100"
"368","-1","1.1","39","42.66666666666667"
"369","-1","1.1","39","40"
"370","-1","1.1","39","38.666666666666664"
"371","-1","1.1","39","38.666666666666664"
"372","-1","1.1","39","39.33333333333333"
"373","-1","1.1","39","40"
"374","-1","1.1","39","40"
"376","-1","1.1","39","40.666666666666664"
"375","-1","1.1","39","42.66666666666667"
"377","-1","1.1","39","39.33333333333333"
"378","-1","1.1","39","41.333333333333336"
"379","-1","1.1","39","40.666666666666664"
"381","-1","1.2","39","44"
"380","-1","1.1","39","38"
"382","-1","1.2","39","44"
"383","-1","1.2","39","46.666666666666664"
"384","-1","1.2","39","50"
"385","-1","1.2","39","46"
"386","-1","1.2","39","46"
"387","-1","1.2","39","44"
"388","-1","1.2","39","46"
"389","-1","1.2","39","49.333333333333336"
"390","-1","1.2","39","43.333333333333336"
"391","-1","1.2","39","44.666666666666664"
"392","-1","1.2","39","44"
"393","-1","1.2","39","43.333333333333336"
"394","-1","1.2","39","44.666666666666664"
"396","-1","1.2","39","47.333333333333336"
"397","-1","1.2","39","45.33333333333333"
"398","-1","1.2","39","42.66666666666667"
"399","-1","1.2","39","47.333333333333336"
"401","-1","1.3","39","52.666666666666664"
"400","-1","1.2","39","44.666666666666664"
"402","-1","1.3","39","50"
"395","-1","1.2","39","46"
"403","-1","1.3","39","50"
"404","-1","1.3","39","49.333333333333336"
"406","-1","1.3","39","50"
"405","-1","1.3","39","47.333333333333336"
"407","-1","1.3","39","48.66666666666667"
"408","-1","1.3","39","52"
"409","-1","1.3","39","46"
"410","-1","1.3","39","46.666666666666664"
"411","-1","1.3","39","48.66666666666667"
"412","-1","1.3","39","47.333333333333336"
"413","-1","1.3","39","48"
"414","-1","1.3","39","50"
"415","-1","1.3","39","51.33333333333333"
"416","-1","1.3","39","49.333333333333336"
"417","-1","1.3","39","49.333333333333336"
"418","-1","1.3","39","50"
"419","-1","1.3","39","51.33333333333333"
"420","-1","1.3","39","50.66666666666667"
"421","-0.5","0.7","39","23.333333333333332"
"422","-0.5","0.7","39","26"
"424","-0.5","0.7","39","23.333333333333332"
"423","-0.5","0.7","39","26"
"425","-0.5","0.7","39","25.333333333333336"
"426","-0.5","0.7","39","22"
"427","-0.5","0.7","39","25.333333333333336"
"428","-0.5","0.7","39","24.666666666666668"
"429","-0.5","0.7","39","27.333333333333332"
"430","-0.5","0.7","39","24"
"431","-0.5","0.7","39","26"
"432","-0.5","0.7","39","23.333333333333332"
"433","-0.5","0.7","39","24.666666666666668"
"435","-0.5","0.7","39","24"
"434","-0.5","0.7","39","24.666666666666668"
"436","-0.5","0.7","39","27.333333333333332"
"437","-0.5","0.7","39","26"
"438","-0.5","0.7","39","25.333333333333336"
"439","-0.5","0.7","39","22.666666666666664"
"440","-0.5","0.7","39","26"
"441","-0.5","0.8","39","27.333333333333332"
"442","-0.5","0.8","39","30"
"443","-0.5","0.8","39","28.666666666666668"
"444","-0.5","0.8","39","30.666666666666664"
"445","-0.5","0.8","39","30.666666666666664"
"446","-0.5","0.8","39","28.000000000000004"
"447","-0.5","0.8","39","32"
"448","-0.5","0.8","39","28.000000000000004"
"449","-0.5","0.8","39","28.000000000000004"
"450","-0.5","0.8","39","28.000000000000004"
"452","-0.5","0.8","39","28.666666666666668"
"451","-0.5","0.8","39","28.666666666666668"
"453","-0.5","0.8","39","31.333333333333336"
"454","-0.5","0.8","39","30"
"455","-0.5","0.8","39","30"
"456","-0.5","0.8","39","30"
"457","-0.5","0.8","39","31.333333333333336"
"458","-0.5","0.8","39","29.333333333333332"
"459","-0.5","0.8","39","30"
"460","-0.5","0.8","39","27.333333333333332"
"461","-0.5","0.9","39","35.333333333333336"
"462","-0.5","0.9","39","33.33333333333333"
"463","-0.5","0.9","39","34"
"464","-0.5","0.9","39","32.666666666666664"
"465","-0.5","0.9","39","35.333333333333336"
"466","-0.5","0.9","39","32"
"467","-0.5","0.9","39","34"
"468","-0.5","0.9","39","32"
"469","-0.5","0.9","39","34"
"470","-0.5","0.9","39","30.666666666666664"
"471","-0.5","0.9","39","34"
"473","-0.5","0.9","39","34"
"472","-0.5","0.9","39","32.666666666666664"
"474","-0.5","0.9","39","35.333333333333336"
"475","-0.5","0.9","39","32.666666666666664"
"476","-0.5","0.9","39","34.66666666666667"
"477","-0.5","0.9","39","32.666666666666664"
"478","-0.5","0.9","39","33.33333333333333"
"479","-0.5","0.9","39","32"
"480","-0.5","0.9","39","33.33333333333333"
"481","-0.5","1","39","36"
"482","-0.5","1","39","37.333333333333336"
